PAIR TYPE	SIMILARITY	SAME TYPE	REF TYPE	PRED TYPE	SOURCE SIMILARITY	REF SOURCES	PRED SOURCE	TARGET SIMILARITY	REF TARGETS	PRED TARGET
Match	1.0	True	Located in	Located in	1.0	citrus fruits, citrus plants	citrus plants	1.0	Veracruz	Veracruz
False Negative	0.0		Located in			Persian lemon			Veracruz	
False Negative	0.0		Located in			orange			Veracruz	
False Negative	0.0		Located in			tangerine			Veracruz	
False Negative	0.0		Located in			grapefruit			Veracruz	
False Positive	0.0			Located in			900 nurseries			Veracruz
False Positive	0.0			Located in			22 nurseries			Veracruz
False Positive	0.0			Affects			citrus plants			Persian lemon
False Positive	0.0			Affects			citrus plants			orange
False Positive	0.0			Affects			citrus plants			tangerine
False Positive	0.0			Affects			citrus plants			grapefruit
False Positive	0.0			Have been found on			citrus plants			HLB
False Positive	0.0			Located in			80 percent of the seedlings from nurseries certified by Senasica			Mexican Republic
False Positive	0.0			Located in			National Agrifood Health, Safety and Quality Service (Senasica)			Geographic
False Positive	0.0			Located in			Postgraduate College			Geographic
False Positive	0.0			Located in			Secretary of Agricultural, Rural, Fisheries and Food Development (Sedarpa)			Geographic
False Positive	0.0			Located in			State Plant Health Committee			Geographic
