	gpt-4o-mini	kimi	deepseek
106151	0.8571428571428571	0.18181818181818182	0.5
106959	nan	1.0	1.0
116223	0.7692307692307693	0.5882352941176471	0.7692307692307693
98917	0.7777777777777778	0.6363636363636364	0.3157894736842105
107272	0.35000000000000003	0.24242424242424246	0.10810810810810811
115106	0.07999999999999999	0.2641509433962264	0.1509433962264151
114379	0.5	0.4375	0.47058823529411764
99613	0.33333333333333337	0.19999999999999998	0.6666666666666666
117674	0.04878048780487805	0.07407407407407408	nan
106963	0.5	0.380952380952381	0.1904761904761905
99614	nan	nan	nan
117298	0.6153846153846153	0.5555555555555556	0.5333333333333333
99984	0.8	0.8	0.8
117892	nan	nan	nan
102904	0.30769230769230765	0.22222222222222224	0.22222222222222224
117299	0.5555555555555556	0.5	0.5555555555555556
105611	0.1568627450980392	0.19999999999999998	0.16666666666666666
107172	0.125	0.5	0.25
102584	0.14285714285714285	0.2857142857142857	0.5333333333333333
115211	0.22222222222222224	0.7499999999999999	0.6
98579	nan	nan	nan
107207	0.3333333333333333	0.30769230769230765	0.6153846153846153
98195	0.22222222222222224	0.6	0.20000000000000004
98142	nan	0.4615384615384615	0.26666666666666666
116119	0.3333333333333333	0.28571428571428575	0.2222222222222222
106336	0.3125	0.27586206896551724	nan
116125	0.23529411764705882	0.33333333333333337	0.23529411764705882
98783	0.17391304347826086	0.09999999999999999	0.09523809523809525
98191	nan	nan	nan
104119	nan	nan	nan
98392	nan	nan	nan
104656	0.625	0.4	0.7142857142857143
99067	0.17391304347826086	0.18181818181818182	0.17391304347826086
99107	0.43478260869565216	0.6153846153846153	0.3333333333333333
98794	0.42857142857142855	0.23076923076923078	0.3076923076923077
103847	1.0	1.0	1.0
103660	0.56	0.8571428571428571	0.9333333333333333
114259	0.15094339622641506	0.2181818181818182	0.11764705882352941
116664	0.16666666666666669	0.1818181818181818	0.25
104499	1.0	1.0	0.8571428571428571
116507	nan	nan	nan
104329	nan	1.0	nan
116671	nan	nan	nan
100011	0.75	0.6153846153846153	0.75
116070	nan	0.42857142857142855	0.14285714285714285
115183	0.5217391304347827	0.5217391304347827	0.5454545454545455
99132	0.4	0.4	0.4
103669	nan	0.4	0.6666666666666666
116983	0.5333333333333333	0.5	0.7692307692307692
105652	0.5714285714285715	0.8571428571428571	0.8571428571428571
105862	0.11764705882352941	0.09523809523809523	nan
103963	0.2857142857142857	0.47058823529411764	0.6250000000000001
116761	0.7499999999999999	0.4000000000000001	0.5714285714285715
102488	0.5454545454545454	0.5454545454545454	0.1818181818181818
115243	0.45161290322580644	0.16666666666666666	0.032786885245901634
